day,hour,minute,customer_no
Friday,7,0,3
Friday,7,1,3
Friday,7,2,3
Friday,7,3,3
Friday,7,4,3
Friday,7,5,3
Friday,7,6,3
Friday,7,7,1
Friday,7,8,6
Friday,7,9,6
Friday,7,10,4
Friday,7,11,8
Friday,7,12,6
Friday,7,13,4
Friday,7,14,3
Friday,7,15,1
Friday,7,16,2
Friday,7,17,2
Friday,7,18,3
Friday,7,19,6
Friday,7,20,7
Friday,7,21,2
Friday,7,22,3
Friday,7,23,1
Friday,7,24,5
Friday,7,25,5
Friday,7,26,4
Friday,7,27,11
Friday,7,28,7
Friday,7,29,3
Friday,7,30,7
Friday,7,31,7
Friday,7,32,5
Friday,7,33,5
Friday,7,34,6
Friday,7,35,9
Friday,7,36,7
Friday,7,37,9
Friday,7,38,10
Friday,7,39,7
Friday,7,40,4
Friday,7,41,15
Friday,7,42,10
Friday,7,43,9
Friday,7,44,3
Friday,7,45,2
Friday,7,46,2
Friday,7,47,6
Friday,7,48,8
Friday,7,49,7
Friday,7,50,6
Friday,7,51,4
Friday,7,52,4
Friday,7,53,7
Friday,7,54,8
Friday,7,55,3
Friday,7,56,2
Friday,7,57,7
Friday,7,58,3
Friday,7,59,2
Friday,8,0,3
Friday,8,1,6
Friday,8,2,6
Friday,8,3,7
Friday,8,4,6
Friday,8,5,5
Friday,8,6,3
Friday,8,7,2
Friday,8,8,4
Friday,8,9,5
Friday,8,10,4
Friday,8,11,8
Friday,8,12,5
Friday,8,13,7
Friday,8,14,4
Friday,8,15,6
Friday,8,16,9
Friday,8,17,9
Friday,8,18,10
Friday,8,19,8
Friday,8,20,8
Friday,8,21,14
Friday,8,22,14
Friday,8,23,7
Friday,8,24,9
Friday,8,25,12
Friday,8,26,5
Friday,8,27,9
Friday,8,28,7
Friday,8,29,6
Friday,8,30,8
Friday,8,31,7
Friday,8,32,6
Friday,8,33,7
Friday,8,34,10
Friday,8,35,8
Friday,8,36,7
Friday,8,37,6
Friday,8,38,12
Friday,8,39,10
Friday,8,40,11
Friday,8,41,11
Friday,8,42,6
Friday,8,43,8
Friday,8,44,8
Friday,8,45,2
Friday,8,46,5
Friday,8,47,9
Friday,8,48,7
Friday,8,49,12
Friday,8,50,10
Friday,8,51,9
Friday,8,52,11
Friday,8,53,12
Friday,8,54,10
Friday,8,55,11
Friday,8,56,7
Friday,8,57,14
Friday,8,58,11
Friday,8,59,6
Friday,9,0,8
Friday,9,1,5
Friday,9,2,10
Friday,9,3,8
Friday,9,4,4
Friday,9,5,9
Friday,9,6,6
Friday,9,7,6
Friday,9,8,7
Friday,9,9,7
Friday,9,10,5
Friday,9,11,8
Friday,9,12,4
Friday,9,13,4
Friday,9,14,4
Friday,9,15,2
Friday,9,16,2
Friday,9,17,2
Friday,9,18,4
Friday,9,19,5
Friday,9,20,8
Friday,9,21,5
Friday,9,22,5
Friday,9,23,1
Friday,9,24,2
Friday,9,25,6
Friday,9,26,3
Friday,9,27,1
Friday,9,28,3
Friday,9,30,1
Friday,9,31,1
Friday,9,32,6
Friday,9,33,2
Friday,9,34,4
Friday,9,35,2
Friday,9,36,6
Friday,9,37,5
Friday,9,38,8
Friday,9,39,3
Friday,9,40,6
Friday,9,41,6
Friday,9,42,3
Friday,9,43,4
Friday,9,44,5
Friday,9,45,3
Friday,9,46,1
Friday,9,47,1
Friday,9,48,4
Friday,9,49,2
Friday,9,50,1
Friday,9,51,2
Friday,9,52,5
Friday,9,53,3
Friday,9,55,6
Friday,9,56,2
Friday,9,57,4
Friday,9,58,8
Friday,9,59,6
Friday,10,0,7
Friday,10,1,9
Friday,10,2,10
Friday,10,3,10
Friday,10,4,10
Friday,10,5,7
Friday,10,6,11
Friday,10,7,9
Friday,10,8,6
Friday,10,9,7
Friday,10,10,4
Friday,10,11,3
Friday,10,12,2
Friday,10,13,5
Friday,10,15,2
Friday,10,16,5
Friday,10,17,10
Friday,10,18,2
Friday,10,19,6
Friday,10,20,7
Friday,10,21,5
Friday,10,22,3
Friday,10,23,5
Friday,10,24,4
Friday,10,25,6
Friday,10,26,6
Friday,10,27,10
Friday,10,28,6
Friday,10,29,7
Friday,10,30,4
Friday,10,31,2
Friday,10,32,4
Friday,10,33,3
Friday,10,34,1
Friday,10,35,1
Friday,10,36,2
Friday,10,37,2
Friday,10,38,7
Friday,10,39,4
Friday,10,40,6
Friday,10,41,3
Friday,10,42,5
Friday,10,43,4
Friday,10,44,7
Friday,10,45,6
Friday,10,46,4
Friday,10,47,2
Friday,10,48,2
Friday,10,49,1
Friday,10,50,2
Friday,10,51,5
Friday,10,52,2
Friday,10,53,6
Friday,10,54,2
Friday,10,55,4
Friday,10,56,8
Friday,10,57,2
Friday,10,58,5
Friday,10,59,6
Friday,11,0,4
Friday,11,1,2
Friday,11,2,3
Friday,11,3,3
Friday,11,4,2
Friday,11,5,3
Friday,11,6,4
Friday,11,7,5
Friday,11,8,2
Friday,11,9,2
Friday,11,10,1
Friday,11,11,1
Friday,11,12,1
Friday,11,14,1
Friday,11,15,5
Friday,11,16,3
Friday,11,17,6
Friday,11,18,3
Friday,11,19,4
Friday,11,20,6
Friday,11,21,9
Friday,11,22,3
Friday,11,23,6
Friday,11,24,6
Friday,11,25,4
Friday,11,27,1
Friday,11,28,5
Friday,11,29,3
Friday,11,30,4
Friday,11,31,1
Friday,11,32,5
Friday,11,33,2
Friday,11,34,3
Friday,11,36,3
Friday,11,37,2
Friday,11,38,6
Friday,11,39,4
Friday,11,40,4
Friday,11,41,7
Friday,11,42,8
Friday,11,43,14
Friday,11,44,7
Friday,11,45,8
Friday,11,46,6
Friday,11,47,9
Friday,11,48,4
Friday,11,49,9
Friday,11,50,4
Friday,11,51,8
Friday,11,52,5
Friday,11,53,14
Friday,11,54,7
Friday,11,55,4
Friday,11,56,10
Friday,11,57,7
Friday,11,58,8
Friday,11,59,4
Friday,12,0,4
Friday,12,1,5
Friday,12,2,5
Friday,12,3,4
Friday,12,4,8
Friday,12,5,5
Friday,12,6,4
Friday,12,7,7
Friday,12,8,6
Friday,12,9,5
Friday,12,10,5
Friday,12,11,9
Friday,12,12,8
Friday,12,13,8
Friday,12,14,3
Friday,12,15,5
Friday,12,16,2
Friday,12,17,4
Friday,12,18,3
Friday,12,19,2
Friday,12,20,4
Friday,12,21,4
Friday,12,22,2
Friday,12,23,3
Friday,12,24,5
Friday,12,25,3
Friday,12,26,3
Friday,12,27,2
Friday,12,28,1
Friday,12,30,2
Friday,12,31,4
Friday,12,33,3
Friday,12,34,1
Friday,12,35,7
Friday,12,36,5
Friday,12,37,6
Friday,12,38,6
Friday,12,39,11
Friday,12,40,11
Friday,12,41,12
Friday,12,42,7
Friday,12,43,3
Friday,12,44,7
Friday,12,45,6
Friday,12,46,4
Friday,12,47,3
Friday,12,48,6
Friday,12,49,4
Friday,12,50,4
Friday,12,51,2
Friday,12,52,2
Friday,12,53,2
Friday,12,54,7
Friday,12,55,10
Friday,12,56,8
Friday,12,57,4
Friday,12,58,4
Friday,12,59,3
Friday,13,0,5
Friday,13,1,5
Friday,13,2,4
Friday,13,3,2
Friday,13,4,3
Friday,13,5,3
Friday,13,6,10
Friday,13,7,7
Friday,13,8,3
Friday,13,9,2
Friday,13,10,3
Friday,13,12,5
Friday,13,13,2
Friday,13,14,3
Friday,13,15,8
Friday,13,16,9
Friday,13,17,4
Friday,13,18,7
Friday,13,19,10
Friday,13,20,10
Friday,13,21,7
Friday,13,22,9
Friday,13,23,7
Friday,13,24,6
Friday,13,25,4
Friday,13,26,10
Friday,13,27,10
Friday,13,28,16
Friday,13,29,13
Friday,13,30,4
Friday,13,31,13
Friday,13,32,5
Friday,13,33,8
Friday,13,34,6
Friday,13,35,11
Friday,13,36,2
Friday,13,37,5
Friday,13,38,5
Friday,13,39,5
Friday,13,40,2
Friday,13,41,3
Friday,13,42,1
Friday,13,43,6
Friday,13,44,6
Friday,13,45,6
Friday,13,46,4
Friday,13,47,7
Friday,13,48,5
Friday,13,49,4
Friday,13,50,7
Friday,13,51,4
Friday,13,52,4
Friday,13,53,9
Friday,13,54,5
Friday,13,55,8
Friday,13,56,9
Friday,13,57,5
Friday,13,58,6
Friday,13,59,5
Friday,14,0,6
Friday,14,1,7
Friday,14,2,11
Friday,14,3,7
Friday,14,4,10
Friday,14,5,7
Friday,14,6,3
Friday,14,7,7
Friday,14,8,9
Friday,14,9,5
Friday,14,10,3
Friday,14,11,4
Friday,14,12,6
Friday,14,13,8
Friday,14,14,5
Friday,14,15,4
Friday,14,16,5
Friday,14,17,6
Friday,14,18,7
Friday,14,19,3
Friday,14,20,7
Friday,14,21,7
Friday,14,22,5
Friday,14,23,11
Friday,14,24,4
Friday,14,25,7
Friday,14,26,7
Friday,14,27,9
Friday,14,28,6
Friday,14,29,12
Friday,14,30,14
Friday,14,31,9
Friday,14,32,8
Friday,14,33,10
Friday,14,34,6
Friday,14,35,5
Friday,14,36,7
Friday,14,37,6
Friday,14,38,3
Friday,14,39,2
Friday,14,40,8
Friday,14,41,3
Friday,14,42,8
Friday,14,43,3
Friday,14,44,5
Friday,14,45,11
Friday,14,46,6
Friday,14,47,7
Friday,14,48,10
Friday,14,49,5
Friday,14,50,2
Friday,14,51,2
Friday,14,52,3
Friday,14,53,2
Friday,14,54,3
Friday,14,55,1
Friday,14,57,3
Friday,14,58,5
Friday,14,59,4
Friday,15,0,3
Friday,15,1,2
Friday,15,2,5
Friday,15,3,4
Friday,15,4,2
Friday,15,5,7
Friday,15,6,2
Friday,15,7,6
Friday,15,8,7
Friday,15,9,3
Friday,15,10,2
Friday,15,11,4
Friday,15,12,3
Friday,15,13,5
Friday,15,14,3
Friday,15,15,2
Friday,15,16,4
Friday,15,17,3
Friday,15,18,5
Friday,15,19,4
Friday,15,20,2
Friday,15,21,4
Friday,15,22,9
Friday,15,23,6
Friday,15,24,3
Friday,15,25,7
Friday,15,26,5
Friday,15,27,2
Friday,15,28,6
Friday,15,29,7
Friday,15,30,7
Friday,15,31,1
Friday,15,32,1
Friday,15,33,3
Friday,15,34,4
Friday,15,35,5
Friday,15,36,4
Friday,15,37,2
Friday,15,38,3
Friday,15,39,1
Friday,15,40,3
Friday,15,41,3
Friday,15,42,2
Friday,15,43,5
Friday,15,44,10
